raw_error,error,delta,integral,derivative,steps,steps_to_take_right_now,process_value
-15.66,-3.29,0.0,137.0,-3.49,0.26,1.0,60.0
-3.8,2.84,0.0,138.28,-1.88,0.32,1.0,60.0
-5.12,6.98,0.0,139.16,-3.43,0.37,1.0,60.0
1.44,6.81,0.0,140.62,-1.52,0.42,1.0,60.0
16.83,5.0,0.0,141.42,3.35,0.47,1.0,60.0
12.31,10.16,0.0,142.59,0.61,0.52,1.0,60.0
0.45,6.91,0.0,143.37,-1.83,0.59,1.0,60.0
8.21,7.03,0.0,144.81,0.33,0.64,0.0,60.0
-13.6,3.05,0.0,145.79,-4.71,0.68,0.0,60.0
3.94,6.51,0.0,146.66,-0.73,0.74,0.0,60.0
-4.14,5.34,0.0,147.55,-2.68,0.78,0.0,60.0
13.8,8.15,0.0,149.09,1.6,0.82,0.0,60.0
-6.33,2.37,0.0,149.58,-2.46,0.86,0.0,60.0
10.43,2.55,0.0,150.29,2.23,0.91,0.0,60.0
-9.05,3.52,0.0,151.4,-3.56,0.96,0.0,60.0
23.7,9.46,0.0,152.2,4.02,0.0,1.0,60.0
-0.43,3.63,0.0,153.13,-1.15,0.06,1.0,60.0
15.52,7.98,0.0,154.54,2.13,0.1,1.0,60.0
-7.22,1.2,0.0,155.28,-2.38,0.16,1.0,60.0
3.92,7.62,0.0,156.48,-1.05,0.21,1.0,60.0
-3.84,-2.96,0.0,157.13,-0.25,0.25,1.0,60.0
2.66,7.46,0.0,158.6,-1.36,0.3,1.0,60.0
-37.75,-9.27,0.0,159.19,-8.06,0.35,1.0,60.0
25.76,8.72,0.0,160.35,4.82,0.41,1.0,60.0
10.52,3.85,0.0,160.86,1.88,0.47,1.0,60.0
9.59,7.94,0.0,162.33,0.47,0.53,1.0,60.0
-23.62,-2.34,0.0,163.03,-6.02,0.57,1.0,60.0
2.68,3.51,0.0,164.2,-0.24,0.63,0.0,60.0
7.37,5.0,0.0,164.98,0.67,0.67,0.0,60.0
13.5,7.84,0.0,166.39,1.6,0.71,0.0,60.0
16.33,7.31,0.0,166.9,2.55,0.76,0.0,60.0
9.35,7.49,0.0,168.3,0.53,0.81,0.0,60.0
-24.55,-5.78,0.0,168.87,-5.31,0.85,0.0,60.0
1.19,4.19,0.0,170.14,-0.85,0.9,0.0,60.0
-2.72,5.0,0.0,170.8,-2.18,0.94,0.0,60.0
11.05,8.53,0.0,172.23,0.71,0.98,0.0,60.0
-23.13,1.16,0.0,173.11,-6.87,0.03,1.0,60.0
-30.45,-8.09,0.0,174.05,-6.31,0.08,1.0,60.0
1.94,2.89,0.0,174.78,-0.27,0.14,1.0,60.0
